id,name_x,name_y
5329,Brian_Jacques,
14577,Jen_Lancaster,
13522695,A_J_Banner,Anne_J_not_actually_anne_but_definitely_female_Banner
26513,Richard_Lancelyn_Green,
1402383,Elizabeth_George,
1544,Lance_Armstrong,
2546,Chuck_Palahniuk,
21574,Charles_Burns,
970554,Ingrid_Law,
25375,Peter_F_Hamilton,
396165,Anna_Burns,
18002228,Sally_Thorne,
47104,Melina_Marchetta,
24824,Jon_Stone,
4012,Wilkie_Collins,
56700,Crockett_Johnson,
6989,Rudyard_Kipling,
173,George_Eliot,
12452,Aesop,
1113469,Hermann_Hesse,
36714,Frederick_Forsyth,
15905,Thomas_Hardy,
3953,William_Makepeace_Thackeray,
13778,Bill_Watterson,
16494,Sebastian_Junger,
3539,Rohinton_Mistry,
2121,Michael_Pollan,
967839,H_A_Rey,Hans_A_Rey
881203,Willa_Cather,
7549,Elizabeth_George_Speare,
1002,Sophocles,
1432,Michael_Cunningham,
3190,F_Scott_Fitzgerald,Francis_Scott_Fitzgerald
5144,James_Joyce,
59542,Peter_Benchley,
8050,Ira_Levin,
5272674,Jenny_Lawson,
585,John_Steinbeck,
988142,E_B_White,Elwyn_B_White
5300,Laura_Ingalls_Wilder,
10289,Dennis_Lehane,
8885,George_Saunders,
2522,Zadie_Smith,
29671,Ezra_Jack_Keats,
7751,Tennessee_Williams,
2893961,Emmuska_Orczy,
10003,Laurie_Halse_Anderson,
6238,Marjane_Satrapi,
9876,John_Milton,
13234,Sandra_Cisneros,
13388,Shirley_Jackson,
7084,Karl_Marx,
5246,Amy_Tan,
18062,James_Herriot,
615274,Kate_Morton,
211268,Geraldine_Brooks,
7275,Helen_Keller,
21982,Alison_Bechdel,
688,George_S_Clason,
2448,Arthur_Conan_Doyle,
120401,David_Benioff,
7111,Walter_Isaacson,
2749,Scott_Turow,
9785,Andre_Dubus_III,
1244,Mark_Twain,
17212,Marcus_Aurelius,
3447,Ken_Follett,
64709,Clement_C_Moore,
6518370,Whitney_G_,
696372,Alexandra_Adornetto,
71438,Joyce_Maynard,
2508,Claire_Messud,
7231634,Bruce_Holsinger,
6765,Virginia_Woolf,
835348,Ann_Aguirre,
17039266,Kate_Clayborn,
164153,Hisaya_Nakajo,
